SUSTAINABILITY CODES MASTER LIST
8173 -Arrival Plaza - Building 1
8174 -Arrival Plaza - Building 2
8175 -Arrival Plaza - Building 3
8176 -Arrival Plaza - Building 4
8177 -Arrival Plaza - Building 5
8178 -Arrival Plaza - Building 6
4200 -Terra Pavilion
5261 - SS01
5201 - SA01
5251 - SR01
5202 - SA02
5252 - SR02
5203 - SA03
5262 - SS02
5263 - SS03
5204 - SA04
5205 - SA05
5310 - Vision
5253 - SR03
5264 - SS04
5286 - SM01
5286(2) - SM01 (Second Panel)
5207 - SA07
5206 - SA06
5255 - SR05
5266 - SS06
5254 - SR04
5208 - SA08
5265 - SS05
5209 - SA09
OPPORTUNITY CODES MASTER LIST
4009 - C3 Building - General Code
4316 - C3 Building - Exhibition & Office (FACP)
4317 - C3 Building - LV/GSM General Area
4318 - C3 Building - Basement / Theatre Hall
4321 - C3 Building - Canvas Café (FACP)
4322 - C3 Building - OPV Store (FACP)
4323 - C3 Building - Best Practice AR / AI Hub
8166 - Arrival Plaza - Building 1
8167 - Arrival Plaza - Building 2
8168 - Arrival Plaza - Building 3
8169 - Arrival Plaza - Building 4(FACP)
8170 - Arrival Plaza - Building 5
8171 - Arrival Plaza - Building 6
8172 - Arrival Plaza - Building 7
8185 - Arrival Plaza - Building 8
5401 - OA01
5402 - OA02
5403 - OA03
5404 - OA04
5405 - OA05
5406 - OA06
5407 - OA07
5408 - OA08
5409 - OA09
5410 - OA10
5411 - OA11
5412 - OA12
5413 - OA13
5414 - OA14
5415 - OA15
5416 - OA16
5417 - OA17
5418 - OA18
5419 - OA19
5420 - OA20
5451 - OR01
5452 - OR02
5453 - OR03
5454 - OR04
5461 - OS01
5462 - OS02
5463 - OS03
5464 - OS04
5465 - OS05
5466 - OS06
5467 - OS07
5455 - OSR
5486 - OM01
5491 - Expo Museum
5492 - House of Art
4742 - Egypt Pavilion
4793 - Norway pavilion
4790 - Ukraine Pavilion
4722 - DP World Pavilion
4750 - China Pavilion
4748 - Palestine Pavilion
4724 - Emirates Pavilion
4766 - Kazakhstan Pavilion
4738 - KSA Pavilion
5400 - Basement Master Code
KIOSK(LATIFA PARK FRONT)	4531
KIOSK(LATIFA PARK FRONT)	4536
KIOSK(LATIFA PARK FRONT)	4537
KIOSK(LATIFA PARK FRONT)	4538
KIOSK(LATIFA PARK FRONT)	4539
KIOSK(LATIFA PARK FRONT)	4542
KIOSK(LATIFA PARK FRONT)	4543
KIOSK(LATIFA PARK FRONT)	4544
KIOSK(LATIFA PARK FRONT)	4545
KIOSK(BESIDE IRIS LOUNGE)	4547
KIOSK(LATIFA PARK FRONT)	4548
KIOSK(BESIDE IRIS LOUNGE)	4549
KIOSK(BESIDE IRIS LOUNGE)	4550
KIOSK(BESIDE IRIS LOUNGE)	4561
KIOSK(AROUND DMA)	4592
KIOSK(LATIFA PARK FRONT)	4631
KIOSK(LATIFA PARK FRONT)	4640
MCFO(IRIS FOOD HALL) Family Place	4853
KIOSK(USA-IND)	4858
MCFO STAIRWELL	4866
KIOSK(LATIFA PARK FRONT)	4892
KIOSK(USA-IND)	4896
KIOSK(BESIDE IRIS LOUNGE)	4919
KIOSK(AROUND DMA)	4921
KIOSK(BESIDE IRIS LOUNGE)	4925
KIOSK(USA-IND)	4926
KIOSK(LATIFA PARK FRONT)	4932
KIOSK(USA-IND)	4933
GHAYATH TRAIL	4944
GHAYATH TRAIL	4945
GHAYATH TRAIL(FACP)	4946
KIOSK(AROUND DMA)	8203
Ghayat Trail ICT security	4943
5400-B1-2 LV Room ZONE 01
5400-B1-3 IDF Room ZONE 01
5400-B1-4 PAVA Room ZONE 01
5400-B1-5 CEL (FACP) ZONE 01
5400-B1-7 LV Room ZONE 01
5400-B1-20 TRTRA Room ZONE 01
5400-B1-21 GMS Room ZONE 01
5400-B1-22 MTR Room ZONE 01
5400-B1-123 LV Room ZONE 01
5400-B1-124 Life Safety Room ZONE 01
5400-B1-127 Docking Room ZONE 01
5400-B1-128 SED L Room ZONE 01
5400-B1-129 Grease Room ZONE 01
5400-B1-130 MIN Waste Room ZONE 01
5400-B1-132 LV Room ZONE 01
5400-B1-133 IDF ZONE 01
5400-B1-134 PAVA Room ZONE 01
5400-B1-135 CEL (FACP) Room ZONE 01
5400-B1-136 LV Room ZONE 01
5400-B1-137 LV Room ZONE 01
5400-B1-138 PAVA Room ZONE 01
5400-B1-139 CEL (FACP) Room ZONE 01
5400-B1-140 IDF ZONE 01
5400-B1-146 SED L Room ZONE 01
5400-B1-151 SED Room ZONE 01
5400-B1-9 DOCKING Room ZONE 02
5400-B1-15 Store Room ZONE 02
5400-B1-19 Grease Room ZONE 02
5400-B1-20 SED Room ZONE 02
5400-B1-171 CEL (FACP) Room ZONE 02
5400-B1-172 IDF Room ZONE 02
5400-B1-173 PAVA Room ZONE 02
5400-B1-174 LV Room ZONE 02
5400-B1-175 CEL (FACP) Room ZONE 02
5400-B1-176 IDF Room ZONE 02
5400-B1-177 PAVA Room ZONE 02
5400-B1-178 LV Room ZONE 02
5400-B1-110 Gray Water Room ZONE 03
5400-B1-118 ETISALAT 5G Room ZONE 03
5400-B1-119 PAVA Room ZONE 03
5400-B1-120 IDF Room ZONE 03
5400-B1-121 LV Room ZONE 03
5400-B1-167 LV Room ZONE 03
5400-B1-168 IDF Room ZONE 03
5400-B1-169 PAVA Room ZONE 03
5400-B1-26 Docking Room ZONE 04
5400-B1-29 LV Room ZONE 04
5400-B1-34 LV OM01 ZONE 04
5400-B1-35 Life Safety Room ZONE 04
5400-B1-36 LV OM01 ZONE 04
5400-B1-39 Chiller Room ZONE 04
5400-B1-41 Locked Room ZONE 04
5400-B1-43 Grease Room ZONE 04
5400-B1-44 SED Room ZONE 04
5400-B1-45 SED Room ZONE 04
5400-B1-46 Grease Room ZONE 04
5400-B1-53 Water Room ZONE 04
5400-B1-54 GSM Room ZONE 04
5400-B1-55 PAVA Room ZONE 04
5400-B1-56 IDF Room ZONE 04
5400-B1-57 LV Room ZONE 04
5400-B1-58 LV Room ZONE 04
5400-B1-148 LV Room ZONE 04
5400-B1-160 Lobby Area ZONE 04
5400-B1-176 Locked Room ZONE 04
5400-B1-179 SED Room ZONE 04
5400-B1-180 LV Room ZONE 04
5400-B1-181 Server Room ZONE 04
5400-B1-182 PAVA Room ZONE 04
5400-B1-183 CEL (FACP) ZONE 04
5400-B1-204 IT Room ZONE 04
5400-B1-214 MDF Room ZONE 04
5400-B1-218 Server Room ZONE 04
5400-B1-32 Docking Room ZONE 05
5400-B1-97 Locked Room ZONE 05
5400-B1-99 Grease Room ZONE 05
5400-B1-100 LV Room ZONE 05
5400-B1-101 IDF Room ZONE 05
5400-B1-102 PAVA Room ZONE 05
5400-B1-103 CEL Room ZONE 05
5400-B1-104 SED Room ZONE 05
5400-B1-106 LV Room ZONE 05
5400-B1-107 LV Room ZONE 05
5400-B1-81 SED Room ZONE 06
5400-B1-82 Store Room ZONE 06
5400-B1-84 Grease Room ZONE 06
5400-B1-86 IDF/FACP Room ZONE 06
5400-B1-87 PAVA Room ZONE 06
5400-B1-88 IDF Room ZONE 06
5400-B1-89 LV Room ZONE 06
5400-B1-90 Grease Room ZONE 06
5400-B1-91 PAVA Room ZONE 06
5400-B1-92 IDF Room ZONE 06
5400-B1-93 LV Room ZONE 06
5400-B1-94 LV Room ZONE 06
5400-B1-153 SED Room ZONE 06
5400-B1-194 Water Room ZONE 06
5400-B1-46 Grease Room ZONE 07
5400-B1-48 SED Room ZONE 07
5400-B1-63 LV Room ZONE 07
5400-B1-64 IDF Room ZONE 07
5400-B1-64 Grease Room ZONE 07
